Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Taiwan,12047.2,11828.9,11439.7,11330.5,11350.3,10920.5,10476.6,11086,11288.1,12157.5,11490.5,11600,12008.6,11341,11275.2,11883.3,11679,11834.2,11578.9,12349.3,12711,12894,12944.1
Brunei,338.8,312,331.7,346.2,273,331,372.4,385.3,397.6,390.2,407.2,398.8,391.8,391.6,508.9,445.8,427.4,372.7,371,436.6,455.8,453.3,436.2
Cambodia,172.8,155,142.1,148.2,147.2,144.2,146.1,138.3,116.5,199.1,237.9,250.4,273.4,297.1,327.5,381.3,434.1,504.9,583.3,629,641.4,630.4,583.4
Indonesia,2364.8,2102.4,2541.3,3417.2,3820.5,3318.2,3369.4,4051.8,3764.5,3949.6,4638.5,5317.7,6105.7,8208.8,7232.5,8410.6,7849,9048.5,7955.4,8349,9719.9,8802.5,8915.4
Laos,35.6,34.4,31.7,27.8,26.3,25.7,25.8,25.8,23.9,20,20.1,22.5,23,23.7,...,...,...,...,...,...,...,...,...
Malaysia,2150.1,2675,3039.7,3871.8,3740.1,4000.7,3915,4371.4,4470.2,4219.9,3689.3,4135.7,3944.2,4297.6,4331.1,4663.3,4464.6,3751.6,3423.2,3306.5,3509.1,3675.5,3776.8
Myanmar,653,585.2,426.2,634.1,708.1,716.2,...,...,...,...,...,...,2969.2,3265,3288.3,3816.7,3650.5,3464.5,2356.7,2279.6,3220,3019.6,2783.3
Philippines,2534.5,2390.6,2516.7,2804.6,2642.6,2692.6,2784.2,3049.7,3050.1,2933.2,3081.2,3130.3,3178.5,3628.4,3366.1,3683.6,3792.5,4506.5,4786.8,4772.3,4915.4,5546.1,4166.5
Singapore,7623.1,7805.4,8229.1,8310.2,8467.3,8994.7,9075.8,9425.8,9490.2,9806.9,9618.2,9275.7,9059.3,9029.9,9293.8,9912.5,10539.2,10819.8,10914.8,10789.1,10296.4,11054.8,11367.3
Thailand,3473,3471.1,3503.3,3467,3228.7,3282.8,3636,4674.7,5423.1,6049.6,5598.6,5765.7,5683.7,5908.2,5951.1,6326.6,6680.7,6887,7033.6,7176.2,7210.8,6618.1,5907.9
Timor Leste,xxx,xxx,...,...,...,16.9,33.7,42.4,38.8,59.4,40.2,27.6,40.1,34.3,31.8,39.4,28.4,27.4,21.7,35.9,39.9,39.2,41.4
Viet Nam,...,...,...,1923.4,1969.5,2054.9,2418.9,3116.4,3069.7,3382.8,3759.6,3509.3,4086.6,4273.3,4735.8,5176.7,5602.4,5585.8,6016.6,...,...,...,...
Kazakhstan,238.3,350.4,384,454.6,519.4,654.7,765.5,1150.9,1092.8,1030.6,1132,1247.8,1457.5,1645.9,1642.6,...,1426.4,1369.6,1475.2,1926.1,1628.8,1617.8,1079.5
Kyrgyz Republic,55,44.9,49.8,56.5,60.6,59.6,65.7,59.7,56.4,68.1,77.7,74.8,92.3,98.7,109.3,112.8,120.4,120.7,124.4,126.5,133.4,133.3,131.2
Tajikistan,14.5,14.4,30.7,39.7,46.6,...,...,...,39,40,45,55.9,58,...,74.2,84.6,85.2,79,83.2,83.2,79.1,81.7,93
Turkmenistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Uzbekistan,47.9,41.3,35.1,37.2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1580.5,...,...,...,...
Albania,104.8,119.1,119,133.6,146.1,151.3,185.8,230,270.9,214.4,230.4,229.1,223.9,210.8,204.9,178.4,171.7,178.2,192.9,217,210.4,222.8,296.6
Bosnia and Herzegovina,...,...,394.1,274.3,246,205.3,197.4,194.9,202.8,223.1,208.1,184.2,181.9,176.5,171.7,176.8,175.4,168.9,175.1,176.5,177.4,209.7,187.7
